Start Time, End Time, Activity Number, Activity, PID
20/11/2020 14:26:48-04:00,20/11/2020 14:29:50-04:00,7,  Repeated Face Touching,8
20/11/2020 14:31:59-04:00,20/11/2020 14:35:01-04:00,6,  Moving items,8
20/11/2020 14:38:19-04:00,20/11/2020 14:41:21-04:00,1, Mobile Phone,8
20/11/2020 14:43:42-04:00,20/11/2020 14:46:44-04:00,8,  Eating and Drinking,8
20/11/2020 14:48:21-04:00,20/11/2020 14:51:23-04:00,3,  Computer Tasks,8
20/11/2020 14:53:43-04:00,20/11/2020 14:56:45-04:00,5,  Leisure Walk,8
20/11/2020 14:58:14-04:00,20/11/2020 15:01:16-04:00,4,  Writing,8
20/11/2020 15:03:01-04:00,20/11/2020 15:06:03-04:00,2,  Lying Flat,8
20/11/2020 15:08:02-04:00,20/11/2020 15:11:08-04:00,9,  Simulated Smoking,8
20/11/2020 15:13:36-04:00,20/11/2020 15:16:38-04:00,10, Adjusting Eyeglass,8
