Start Time, End Time, Activity Number, Activity, PID
18/11/2020 14:01:07-04:00,18/11/2020 14:04:09-04:00,3,  Computer Tasks,5
18/11/2020 14:06:03-04:00,18/11/2020 14:09:05-04:00,7,  Repeated Face Touching,5
18/11/2020 14:11:09-04:00,18/11/2020 14:14:11-04:00,10, Adjusting Eyeglass,5
18/11/2020 14:16:20-04:00,18/11/2020 14:19:22-04:00,4,  Writing,5
18/11/2020 14:21:05-04:00,18/11/2020 14:24:07-04:00,5,  Leisure Walk,5
18/11/2020 14:26:13-04:00,18/11/2020 14:29:15-04:00,6,  Moving items,5
18/11/2020 14:31:26-04:00,18/11/2020 14:34:28-04:00,1, Mobile Phone,5
18/11/2020 14:36:21-04:00,18/11/2020 14:39:23-04:00,8,  Eating and Drinking,5
18/11/2020 14:41:05-04:00,18/11/2020 14:44:08-04:00,9,  Simulated Smoking,5
18/11/2020 14:46:19-04:00,18/11/2020 14:49:21-04:00,2,  Lying Flat,5
