Start Time, End Time, Activity Number, Activity, PID
19/11/2020 13:10:56-04:00,19/11/2020 13:13:58-04:00,10, Adjusting Eyeglass,6
19/11/2020 13:15:44-04:00,19/11/2020 13:18:47-04:00,7,  Repeated Face Touching,6
19/11/2020 13:20:15-04:00,19/11/2020 13:23:17-04:00,3,  Computer Tasks,6
19/11/2020 13:34:41-04:00,19/11/2020 13:37:43-04:00,3,  Computer Tasks,6
19/11/2020 13:39:24-04:00,19/11/2020 13:42:27-04:00,6,  Moving items,6
19/11/2020 13:44:11-04:00,19/11/2020 13:47:14-04:00,9,  Simulated Smoking,6
19/11/2020 13:49:18-04:00,19/11/2020 13:52:21-04:00,5,  Leisure Walk,6
19/11/2020 13:55:25-04:00,19/11/2020 13:58:32-04:00,4,  Writing,6
19/11/2020 14:00:32-04:00,19/11/2020 14:03:35-04:00,8,  Eating and Drinking,6
19/11/2020 14:05:38-04:00,19/11/2020 14:08:40-04:00,1, Mobile Phone,6
19/11/2020 14:10:09-04:00,19/11/2020 14:13:11-04:00,2,  Lying Flat,6
