Start Time, End Time, Activity Number, Activity, PID
16/11/2020 10:28:50-05:00,16/11/2020 10:31:52-05:00,10, Adjusting Eyeglass,3
16/11/2020 10:33:44-05:00,16/11/2020 10:36:46-05:00,6,  Moving items,3
16/11/2020 10:38:47-05:00,16/11/2020 10:41:49-05:00,9,  Simulated Smoking,3
16/11/2020 10:43:29-05:00,16/11/2020 10:46:31-05:00,8,  Eating and Drinking,3
16/11/2020 10:48:08-05:00,16/11/2020 10:51:10-05:00,2,  Lying Flat,3
16/11/2020 10:53:05-05:00,16/11/2020 10:56:07-05:00,3,  Computer Tasks,3
16/11/2020 10:58:13-05:00,16/11/2020 11:01:16-05:00,1, Mobile Phone,3
16/11/2020 11:03:07-05:00,16/11/2020 11:06:09-05:00,4,  Writing,3
16/11/2020 11:08:28-05:00,16/11/2020 11:11:30-05:00,7,  Repeated Face Touching,3
16/11/2020 11:13:05-05:00,16/11/2020 11:16:07-05:00,5,  Leisure Walk,3
