Start Time, End Time, Activity Number, Activity, PID
19/11/2020 15:54:03-04:00,19/11/2020 15:57:06-04:00,9,  Simulated Smoking,7
19/11/2020 16:04:57-04:00,19/11/2020 16:07:59-04:00,8,  Eating and Drinking,7
19/11/2020 16:09:08-04:00,19/11/2020 16:12:11-04:00,10, Adjusting Eyeglass,7
19/11/2020 16:14:50-04:00,19/11/2020 16:17:52-04:00,5,  Leisure Walk,7
19/11/2020 16:19:44-04:00,19/11/2020 16:22:46-04:00,1, Mobile Phone,7
19/11/2020 16:24:19-04:00,19/11/2020 16:27:22-04:00,6,  Moving items,7
19/11/2020 16:29:22-04:00,19/11/2020 16:32:24-04:00,2,  Lying Flat,7
19/11/2020 16:34:31-04:00,19/11/2020 16:37:33-04:00,3,  Computer Tasks,7
19/11/2020 16:39:20-04:00,19/11/2020 16:42:22-04:00,4,  Writing,7
19/11/2020 16:46:10-04:00,19/11/2020 16:49:13-04:00,7,  Repeated Face Touching,7
