Start Time, End Time, Activity Number, Activity, PID
13/11/2020 14:26:11-05:00,13/11/2020 14:29:13-05:00,8,  Eating and Drinking,2
13/11/2020 14:31:49-05:00,13/11/2020 14:34:51-05:00,6,  Moving items,2
13/11/2020 14:36:21-05:00,13/11/2020 14:39:24-05:00,5,  Leisure Walk,2
13/11/2020 14:41:36-05:00,13/11/2020 14:44:38-05:00,1, Mobile Phone,2
13/11/2020 14:46:11-05:00,13/11/2020 14:49:14-05:00,2,  Lying Flat,2
13/11/2020 14:51:20-05:00,13/11/2020 14:54:22-05:00,7,  Repeated Face Touching,2
13/11/2020 14:56:12-05:00,13/11/2020 14:59:14-05:00,3,  Computer Tasks,2
13/11/2020 15:01:20-05:00,13/11/2020 15:04:22-05:00,4,  Writing,2
13/11/2020 15:06:23-05:00,13/11/2020 15:09:25-05:00,10, Adjusting Eyeglass,2
13/11/2020 15:11:21-05:00,13/11/2020 15:14:32-05:00,9,  Simulated Smoking,2
