Start Time, End Time, Activity Number, Activity, PID
16/11/2020 15:06:58-05:00,16/11/2020 15:10:00-05:00,8,  Eating and Drinking,4
16/11/2020 15:12:09-05:00,16/11/2020 15:15:11-05:00,4,  Writing,4
16/11/2020 15:17:18-05:00,16/11/2020 15:20:21-05:00,2,  Lying Flat,4
16/11/2020 15:22:34-05:00,16/11/2020 15:25:36-05:00,6,  Moving items,4
16/11/2020 15:27:22-05:00,16/11/2020 15:30:25-05:00,7,  Repeated Face Touching,4
16/11/2020 15:32:21-05:00,16/11/2020 15:35:23-05:00,9,  Simulated Smoking,4
16/11/2020 15:37:19-05:00,16/11/2020 15:40:22-05:00,10, Adjusting Eyeglass,4
16/11/2020 15:42:20-05:00,16/11/2020 15:45:23-05:00,1, Mobile Phone,4
16/11/2020 15:47:04-05:00,16/11/2020 15:50:06-05:00,3,  Computer Tasks,4
16/11/2020 15:52:05-05:00,16/11/2020 15:55:07-05:00,5,  Leisure Walk,4
