Start Time, End Time, Activity Number, Activity, PID
02/12/2020 10:25:22-04:00,02/12/2020 10:28:24-04:00,5,  Leisure Walk,9
02/12/2020 10:30:04-04:00,02/12/2020 10:33:09-04:00,9,  Simulated Smoking,9
02/12/2020 10:35:11-04:00,02/12/2020 10:38:13-04:00,1, Mobile Phone,9
02/12/2020 10:40:09-04:00,02/12/2020 10:43:11-04:00,6,  Moving items,9
02/12/2020 10:45:24-04:00,02/12/2020 10:48:26-04:00,2,  Lying Flat,9
02/12/2020 10:50:32-04:00,02/12/2020 10:53:34-04:00,7,  Repeated Face Touching,9
02/12/2020 10:55:07-04:00,02/12/2020 10:58:10-04:00,10, Adjusting Eyeglass,9
02/12/2020 11:00:05-04:00,02/12/2020 11:03:07-04:00,8,  Eating and Drinking,9
02/12/2020 11:05:48-04:00,02/12/2020 11:08:50-04:00,3,  Computer Tasks,9
02/12/2020 11:10:12-04:00,02/12/2020 11:13:15-04:00,4,  Writing,9
