Start Time, End Time, Activity Number, Activity, PID
13/11/2020 10:06:19-05:00,13/11/2020 10:09:21-05:00,1, Mobile Phone,1
13/11/2020 10:10:24-05:00,13/11/2020 10:13:26-05:00,2,  Lying Flat,1
13/11/2020 10:15:57-05:00,13/11/2020 10:18:59-05:00,3,  Computer Tasks,1
13/11/2020 10:21:42-05:00,13/11/2020 10:24:44-05:00,4,  Writing,1
13/11/2020 10:26:35-05:00,13/11/2020 10:29:37-05:00,5,  Leisure Walk,1
13/11/2020 10:32:48-05:00,13/11/2020 10:35:51-05:00,6,  Moving items,1
13/11/2020 10:38:18-05:00,13/11/2020 10:41:20-05:00,7,  Repeated Face Touching,1
13/11/2020 10:44:46-05:00,13/11/2020 10:47:49-05:00,8,  Eating and Drinking,1
13/11/2020 10:49:25-05:00,13/11/2020 10:52:27-05:00,9,  Simulated Smoking,1
13/11/2020 10:54:17-05:00,13/11/2020 10:57:19-05:00,10, Adjusting Eyeglass,1
